Classificação,Marca,Produto,Peso (g),Preço (reais)
1,Colgate,Total 12 Clean Mint,90,"4,12"
2,Colgate,Tripla Ação Menta Original,180,"3,91"
3,Boni Natural,Menta e Melaleuca Vegano e Natural,90,"11,24"
4,Colgate,Luminous White Brilliant Mint,50,"4,04"
5,Boni Natural,Carvão Ativado Branqueador,90,"12,23"
6,Colgate,Luminous White Carvão Ativado,70,"5,49"
7,Colgate,Natural Extracts Purificante,90,"8,15"
8,Elmex,Sensitive,110,"18,55"
9,Oral-B,3D White Mineral Clean Fresh Mint,102,"12,99"
10,Colgate,Luminous White Carvão Ativado,140,"9,54"
